date,suspect,num_bad_aircraft_hexes,source
2023-05-29,false,302,adsbexchange
2023-05-30,false,311,adsbexchange
2023-05-31,false,303,adsbexchange
2023-06-01,false,310,adsbexchange
2023-06-02,false,372,adsbexchange
2023-06-03,false,331,adsbexchange
2023-06-04,false,401,adsbexchange
2023-06-05,false,410,adsbexchange
2023-06-06,false,356,adsbexchange
2023-06-07,false,397,adsbexchange
2023-06-08,false,427,adsbexchange
2023-06-09,false,415,adsbexchange
2023-06-10,false,448,adsbexchange
2023-06-11,false,454,adsbexchange
2023-06-12,false,422,adsbexchange
2023-06-13,false,415,adsbexchange
2023-06-14,false,426,adsbexchange
2023-06-15,false,424,adsbexchange
2023-06-16,false,392,adsbexchange
2023-06-17,false,411,adsbexchange
2023-06-18,false,363,adsbexchange
2023-06-19,false,393,adsbexchange
2023-06-20,false,391,adsbexchange
2023-06-21,false,404,adsbexchange
2023-06-22,false,354,adsbexchange
2023-06-23,false,363,adsbexchange
2023-06-24,false,424,adsbexchange
2023-06-25,false,411,adsbexchange
2023-06-26,false,457,adsbexchange
2023-06-27,false,401,adsbexchange
2023-06-28,false,489,adsbexchange
2023-06-29,false,443,adsbexchange
2023-06-30,false,449,adsbexchange
2023-07-01,false,443,adsbexchange
2023-07-02,false,483,adsbexchange
2023-07-03,false,427,adsbexchange
2023-07-04,false,414,adsbexchange
2023-07-05,false,414,adsbexchange
2023-07-06,false,450,adsbexchange
2023-07-07,false,480,adsbexchange
2023-07-08,false,439,adsbexchange
2023-07-09,false,412,adsbexchange
2023-07-10,false,396,adsbexchange
2023-07-11,false,344,adsbexchange
2023-07-12,false,355,adsbexchange
2023-07-13,false,373,adsbexchange
2023-07-14,false,408,adsbexchange
2023-07-15,false,450,adsbexchange
2023-07-16,false,432,adsbexchange
2023-07-17,false,412,adsbexchange
2023-07-18,false,401,adsbexchange
2023-07-19,false,442,adsbexchange
2023-07-20,false,394,adsbexchange
2023-07-21,false,443,adsbexchange
2023-07-22,false,483,adsbexchange
2023-07-23,false,489,adsbexchange
2023-07-24,false,471,adsbexchange
2023-07-25,false,445,adsbexchange
2023-07-26,false,484,adsbexchange
2023-07-27,false,524,adsbexchange
2023-07-28,false,464,adsbexchange
2023-07-29,false,406,adsbexchange
2023-07-30,false,425,adsbexchange
2023-07-31,false,401,adsbexchange
2023-08-01,false,386,adsbexchange
2023-08-02,false,380,adsbexchange
2023-08-03,false,389,adsbexchange
2023-08-04,false,368,adsbexchange
2023-08-05,false,424,adsbexchange
2023-08-06,false,394,adsbexchange
2023-08-07,false,451,adsbexchange
2023-08-08,false,469,adsbexchange
2023-08-09,false,474,adsbexchange
2023-08-10,false,477,adsbexchange
2023-08-11,false,465,adsbexchange
2023-08-12,false,473,adsbexchange
2023-08-13,false,543,adsbexchange
2023-08-14,false,502,adsbexchange
2023-08-15,false,552,adsbexchange
