FID,ogc_fid,site_id,site_name,alamat,desa,kec,lat,long,jen_men,tinggi,jen_kons,metadata,srs_id,remark,namobj,fcode,objectid,geometry
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.44,44,16MPW026,teluk_air,Dusun Teluk Air,Batu Ampar,Batu Ampar,-0.729861,109.565889,Green Field,100,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.565889 -0.729861)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.45,45,16PTK017,arang_limbung,"Jl. Adisucipto KM 11,9 Gg Darma Jaya RT.01 RW.03",Arang Limbung,Sungai Raya,-0.10325,109.407444,Green Field,40,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.407444444444 -0.10325)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.46,46,16KTP009,batu_ampar_ptk,Komp. Psar Batu Ampar Jl Dermaga RT.05 RW.02 Desa batu Ampar,Batu Ampar,Batu Ampar,-0.743417,109.537139,Green Field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.537138888889 -0.743416666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.47,47,16MPW016,tpi,Jl Sungai Udang Km.8 RT. 01/08 Desa Jeruju Besar,Jeruju Besar,Sungai Kakap,-0.011111,109.224083,Green Field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.224083333333 -0.0111111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.48,48,16MPW027,padang_tikar,Jl Medan Sari Gg. Samudra Desa Padang Tikar II,Padang Tikar II,Batu Ampar,-0.696528,109.263278,Green Field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.263277777778 -0.696527777777778)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.49,49,16PTK030,sei_ambawang,Jl Trans Kalimantan RT.08 RW.01 Desa Ambawang Kuala,Ambawang Kuala,Sungai Ambawang,-0.032278,109.393278,Green Field,55,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.393277777778 -0.0322777777777778)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.50,50,16MPW020,punggur_ptk,"Jl Pelita 1, RT.06 RW.03, Desa Punggur Kecil",Punggur Kecil,Sungai Kakap,-0.124498,109.243279,Green Field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.243279 -0.124498)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.51,51,16PTK023,rsu_soedarso,"Jl. Sungai Raya, No.8 Desa Sungai Raya",Sungai Raya,Sungai Raya,-0.062333,109.366139,Green Field,42,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.366138888889 -0.0623333333333333)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.52,52,16MPW019,drm_rasau,Kampung Harapan Setya RT.12 RW.06 Desa Sungai Asem Kampung,Sungai Asam,Sungai Raya,-0.296619,109.567921,green field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.56792069 -0.29661885)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.54,54,16MPW023,terentang,Jl Pelangi RT.01 RW.08 Desa Terentang Hilir,Terentang Hilir,Terentang,-0.384221,109.627335,green field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.62733463 -0.38422105)
